"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","OUTLIERRG","HIGHSD","MTP"
"634","32.050895690918","1.40195453166962","82.9700622558594","80.5570068359375","56.0425987243652","63.775333404541","55","10","0.5","16SNEST","4.4","sentino","A1","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","1","FALSE","Target 1","UNKNOWN","SYBR","None","31.9960842132568","0.268758177757263","","","","","","","","TRUE","0.081454284454443","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.890877292165406","N","N","N","Y"
"634","32.233211517334","1.38250064849854","80.7763824462891","83.1894302368164","","","55","10","0.5","16SNEST","4.4","sentino","A2","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","2","FALSE","Target 1","UNKNOWN","SYBR","None","31.9960842132568","0.268758177757263","","","","","","","","TRUE","0.081454284454443","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.928870922176119","N","N","N","Y"
"634","31.7041454315186","1.36478984355927","83.1473770141602","71.273078918457","66.3254547119141","92.0531005859375","55","10","0.5","16SNEST","4.4","sentino","A3","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","3","FALSE","Target 1","UNKNOWN","SYBR","None","31.9960842132568","0.268758177757263","","","","","","","","TRUE","0.081454284454443","TRUE","3","27","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.960901942228637","N","N","N","Y"
"635","32.0023651123047","1.12239801883698","80.9484329223633","73.7468948364258","","","55","10","0.5","16SNEST","4.4","sentino","A4","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","4","FALSE","Target 1","UNKNOWN","SYBR","None","31.8489532470703","0.198423311114311","","","","","","","","TRUE","0.081454284454443","TRUE","3","27","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.969235999588993","N","N","N","Y"
"635","31.9196243286133","1.10629141330719","80.9335556030273","83.1862182617188","86.0432434082031","","55","10","0.5","16SNEST","4.4","sentino","A5","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","5","FALSE","Target 1","UNKNOWN","SYBR","None","31.8489532470703","0.198423311114311","","","","","","","","TRUE","0.081454284454443","TRUE","3","28","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.967975173156874","N","N","N","Y"
"635","31.6248683929443","1.01218521595001","80.7687225341797","83.1862182617188","57.4179878234863","73.7360305786133","55","10","0.5","16SNEST","4.4","sentino","A6","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","6","FALSE","Target 1","UNKNOWN","SYBR","None","31.8489532470703","0.198423311114311","","","","","","","","TRUE","0.081454284454443","TRUE","3","28","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.964540404730716","N","N","N","Y"
"636","32.0597763061523","1.29869961738586","83.3616790771484","68.5216293334961","63.7947998046875","69.7308197021484","55","10","0.5","16SNEST","4.4","sentino","A7","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","7","FALSE","Target 1","UNKNOWN","SYBR","None","31.71506690979","0.321841984987259","","","","","","","","TRUE","0.081454284454443","TRUE","3","27","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.96669163272602","N","N","N","Y"
"636","31.6629848480225","1.11214935779572","82.976936340332","91.1114807128906","72.753791809082","86.9892425537109","55","10","0.5","16SNEST","4.4","sentino","A8","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","8","FALSE","Target 1","UNKNOWN","SYBR","None","31.71506690979","0.321841984987259","","","","","","","","TRUE","0.081454284454443","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.956260503936894","N","N","N","Y"
"636","31.4224452972412","1.57186532020569","83.1084213256836","79.3131103515625","","","55","10","0.5","16SNEST","4.4","sentino","A9","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","9","FALSE","Target 1","UNKNOWN","SYBR","None","31.71506690979","0.321841984987259","","","","","","","","TRUE","0.081454284454443","TRUE","3","28","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.979772041993712","N","N","N","Y"
"637_WC","28.6006889343262","1.98585474491119","80.9632415771484","","","","55","10","0.5","16SNEST","4.4","control_sentino","A10","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","10","FALSE","Target 1","UNKNOWN","SYBR","None","28.898229598999","0.257679760456085","","","","","","","","TRUE","0.081454284454443","TRUE","3","24","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.944782700400737","N","Y","N","N"
"637_WC","29.046142578125","1.87789332866669","81.0278625488281","","","","55","10","0.5","16SNEST","4.4","control_sentino","A11","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","11","FALSE","Target 1","UNKNOWN","SYBR","None","28.898229598999","0.257679760456085","","","","","","","","TRUE","0.081454284454443","TRUE","3","25","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.951178530540293","N","N","N","N"
"637_WC","29.0478591918945","1.8657261133194","80.9729614257812","","","","55","10","0.5","16SNEST","4.4","control_sentino","A12","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","12","FALSE","Target 1","UNKNOWN","SYBR","None","28.898229598999","0.257679760456085","","","","","","","","TRUE","0.081454284454443","TRUE","3","25","Amp","55, 10, 0.5, 16SNEST, 4.4, control_sentino","0.916201717652404","N","N","N","N"
"677","32.1588096618652","1.56097543239594","82.9700622558594","","","","55","10","0.5","16SNEST","4.4","sentino","B1","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","13","FALSE","Target 1","UNKNOWN","SYBR","None","32.0938262939453","0.0759148374199867","","","","","","","","TRUE","0.081454284454443","TRUE","3","29","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.973574400588405","N","N","N","N"
"677","32.1122817993164","1.52137637138367","83.1345901489258","79.5150146484375","","","55","10","0.5","16SNEST","4.4","sentino","B2","2022-11-10_fieldtrip2_16SNEST_plate1","2022-10-11 13:42:30 PM AWST","14","FALSE","Target 1","UNKNOWN","SYBR","None","32.0938262939453","0.0759148374199867","","","","","","","","TRUE","0.081454284454443","TRUE","3","28","Amp","55, 10, 0.5, 16SNEST, 4.4, sentino","0.968927670969785","N","N","N","Y"
